Signal,,,DFT
N,Amplitude,,Freq,M,theta
80,-0.110948,,80,2.42607,0.785398
81,0.0754798,,81,3.93871,0.785398
82,0.120953,,82,9.81811,0.785398
83,-0.112234,,83,5.41581,0.785398
84,-0.0650491,,84,2.29766,0.785398
85,-0.0988251,,85,9.85773,0.785398
86,0.00869921,,86,13.0163,0.785398
87,0.00535174,,87,3.86661,0.785398
88,-0.0425051,,88,7.66955,0.785398
89,-0.0455905,,89,7.52816,0.785398
90,0.119465,,90,7.37605,0.785398
91,0.0587716,,91,19.4437,0.785398
92,0.113404,,92,21.3281,0.785398
93,-0.112633,,93,3.35448,0.785398
94,0.0181345,,94,7.21952,0.785398
95,-0.109789,,95,0.819848,0.785398
96,0.0779071,,96,11.6008,0.785398
97,0.119797,,97,11.59,0.785398
98,-0.0685437,,98,2.1925,0.785398
99,-0.0234076,,99,11.6715,0.785398
100,0.0297616,,100,25.5156,0.785398
101,0.0636391,,101,10.4728,0.785398
102,0.103997,,102,19.2555,0.785398
103,-0.115877,,103,5.37607,0.785398
104,0.082644,,104,2.91038,0.785398
105,0.100911,,105,23.3321,0.785398
106,-0.0810019,,106,41.3892,0.785398
107,0.0166957,,107,1.33336,0.785398
108,-0.0429545,,108,4.49254,0.785398
109,-0.0263577,,109,2.82955,0.785398
110,-0.008862,,110,2.07528,0.785398
111,-0.0791829,,111,0.819958,0.785398
112,-0.0606251,,112,7.12037,0.785398
113,0.0276373,,113,3.01066,0.785398
114,-0.0758741,,114,0.114283,0.785398
115,-0.0896768,,115,23.0293,0.785398
116,0.042336,,116,8.18809,0.785398
117,0.0754584,,117,23.892,0.785398
118,-0.086026,,118,12.9463,0.785398
119,-0.007143,,119,17.3306,0.785398
120,-0.0610679,,120,3.06535,0.785398
121,0.123494,,121,4.75331,0.785398
122,0.0496903,,122,2.63675,0.785398
123,0.0868377,,123,0.340616,0.785398
124,-0.107655,,124,0.583955,0.785398
125,-0.0770535,,125,5.37392,0.785398
126,-0.122963,,126,17.491,0.785398
127,-0.0150867,,127,14.1544,0.785398
128,-0.0275967,,128,15.7212,0.785398
129,-0.0910857,,129,2.61037,0.785398
130,-0.0626922,,130,12.4695,0.785398
131,-0.00965205,,131,18.9451,0.785398
132,0.0495973,,132,17.6524,0.785398
133,-0.0732858,,133,33.7763,0.785398
134,-0.0794346,,134,27.5568,0.785398
135,-0.0264018,,135,4.99701,0.785398
136,-0.0893844,,136,18.3644,0.785398
137,0.0539129,,137,12.0355,0.785398
138,-0.00672011,,138,1.83254,0.785398
139,-0.03457,,139,13.0364,0.785398
140,-0.124922,,140,25.7841,0.785398
141,0.118027,,141,13.0205,0.785398
142,-0.0643507,,142,9.79744,0.785398
143,0.0385699,,143,16.1294,0.785398
144,0.11005,,144,5.84378,0.785398
145,0.0240642,,145,10.9735,0.785398
146,0.100964,,146,14.8731,0.785398
147,-0.0421171,,147,14.5354,0.785398
148,-0.0489892,,148,30.483,0.785398
149,0.0438495,,149,2.83216,0.785398
150,-0.0125539,,150,5.633,0.785398
151,-0.0227419,,151,2.31742,0.785398
152,0.0295763,,152,4.88901,0.785398
153,0.0611264,,153,5.64604,0.785398
154,-0.113164,,154,31.4163,0.785398
155,0.0440091,,155,13.4787,0.785398
156,-0.120451,,156,4.80799,0.785398
157,0.00866871,,157,7.37094,0.785398
158,0.109543,,158,13.354,0.785398
159,-0.0304889,,159,8.24496,0.785398
160,-0.00192236,,160,5.34791,0.785398
161,0.0439377,,161,3.4748,0.785398
162,0.071047,,162,32.2795,0.785398
163,0.0984204,,163,14.4443,0.785398
164,0.0567797,,164,16.8131,0.785398
165,-0.0446214,,165,5.12599,0.785398
166,-0.0886907,,166,5.75156,0.785398
167,-0.0657043,,167,8.85608,0.785398
168,-0.0720192,,168,8.45025,0.785398
169,-0.0711242,,169,6.97641,0.785398
170,0.0195442,,170,22.0524,0.785398
171,0.063204,,171,43.1033,0.785398
172,0.0725587,,172,18.8205,0.785398
173,-0.0916404,,173,16.3586,0.785398
174,-0.0298863,,174,19.6525,0.785398
175,-0.0316126,,175,17.323,0.785398
176,-0.0488695,,176,16.9673,0.785398
177,0.0361998,,177,13.751,0.785398
178,0.0806694,,178,22.8353,0.785398
179,0.0706969,,179,49.278,0.785398
180,0.00609524,,180,5.03842,0.785398
181,-0.07271,,181,32.3911,0.785398
182,0.0335067,,182,16.3384,0.785398
183,0.0348919,,183,0.816164,0.785398
184,0.0597365,,184,1.88794,0.785398
185,0.0450886,,185,2.81253,0.785398
186,-0.0251485,,186,14.1874,0.785398
187,-0.123229,,187,10.9602,0.785398
188,-0.059287,,188,15.2233,0.785398
189,0.0909752,,189,15.7739,0.785398
190,0.0360502,,190,1.83224,0.785398
191,0.0310946,,191,17.4368,0.785398
192,0.0315086,,192,12.88,0.785398
193,0.0223916,,193,5.3464,0.785398
194,0.116626,,194,3.73644,0.785398
195,0.0288659,,195,27.2554,0.785398
196,-0.00793,,196,3.85278,0.785398
197,0.0302541,,197,8.36627,0.785398
198,-0.0853015,,198,7.5763,0.785398
199,-0.089376,,199,24.9581,0.785398
200,0.0912526,,200,8.19102,0.785398
201,-0.100805,,201,5.36317,0.785398
202,-0.0114462,,202,10.1857,0.785398
203,-0.0435631,,203,4.22158,0.785398
204,0.00358982,,204,19.3538,0.785398
205,-0.0915875,,205,19.443,0.785398
206,-0.107563,,206,24.1947,0.785398
207,-0.117617,,207,1.71186,0.785398
208,0.120887,,208,5.56088,0.785398
209,0.114675,,209,12.444,0.785398
210,-0.124496,,210,2.21222,0.785398
211,-0.03014,,211,1.32396,0.785398
212,-0.0235653,,212,14.1962,0.785398
213,-0.0747574,,213,7.66429,0.785398
214,-0.0359567,,214,25.1162,0.785398
215,0.0586624,,215,2.77028,0.785398
216,0.0313042,,216,1.40766,0.785398
217,-0.035803,,217,15.3605,0.785398
218,-0.0957218,,218,10.1184,0.785398
219,0.0401102,,219,21.9336,0.785398
220,0.0881677,,220,15.2611,0.785398
221,-0.0817077,,221,48.1491,0.785398
222,-0.0800461,,222,19.6274,0.785398
223,0.0334153,,223,2.76042,0.785398
224,-0.00493989,,224,15.6216,0.785398
225,-0.0171759,,225,5.63284,0.785398
226,0.0634996,,226,13.1079,0.785398
227,-0.117766,,227,3.1075,0.785398
228,-0.104489,,228,19.7086,0.785398
229,0.0270049,,229,32.3575,0.785398
230,0.0378099,,230,7.2392,0.785398
231,0.0885199,,231,10.7603,0.785398
232,-0.0558275,,232,11.0904,0.785398
233,0.0377333,,233,13.8162,0.785398
234,-0.107162,,234,11.3543,0.785398
235,-0.0894132,,235,13.6684,0.785398
236,-0.0935312,,236,21.8892,0.785398
237,0.111435,,237,4.39027,0.785398
238,0.109132,,238,22.4925,0.785398
239,0.104617,,239,13.6322,0.785398
240,-0.0964642,,240,20.0681,0.785398
241,0.0580632,,241,5.19424,0.785398
242,0.0596904,,242,23.4141,0.785398
243,-0.000441633,,243,4.83786,0.785398
244,0.047087,,244,17.6474,0.785398
245,0.0575647,,245,14.5715,0.785398
246,0.101844,,246,6.41551,0.785398
247,0.0958884,,247,29.3391,0.785398
248,0.0762744,,248,0.556383,0.785398
249,0.0917423,,249,21.4826,0.785398
250,-0.0199166,,250,20.1475,0.785398
251,-0.00485054,,251,10.202,0.785398
252,0.0678428,,252,8.42684,0.785398
253,-0.0707806,,253,4.01124,0.785398
254,-0.12115,,254,11.3463,0.785398
255,0.0995177,,255,24.1988,0.785398
256,0.0233013,,256,16.8057,0.785398
257,-0.103622,,257,5.65208,0.785398
258,-0.0835805,,258,25.4767,0.785398
259,-0.0525586,,259,3.8461,0.785398
260,0.121844,,260,29.6593,0.785398
261,0.10629,,261,8.89254,0.785398
262,0.0847668,,262,2.80908,0.785398
263,0.0828919,,263,14.0229,0.785398
264,-0.0790266,,264,8.81938,0.785398
265,0.0392824,,265,20.6636,0.785398
266,-0.0694505,,266,7.11113,0.785398
267,-0.0276603,,267,16.2601,0.785398
268,0.0502153,,268,19.6027,0.785398
269,-0.111336,,269,2.39189,0.785398
270,0.0901207,,270,0.764886,0.785398
271,0.0439441,,271,7.03729,0.785398
272,0.0427095,,272,13.8275,0.785398
273,-0.122351,,273,20.6682,0.785398
274,-0.113511,,274,10.6873,0.785398
275,0.040842,,275,4.74655,0.785398
276,0.110205,,276,24.9942,0.785398
277,-0.048341,,277,23.779,0.785398
278,0.112963,,278,7.35399,0.785398
279,-0.0978355,,279,0.221687,0.785398
280,0.108346,,280,1.87545,0.785398
281,-0.0313846,,281,12.8908,0.785398
282,-0.0877998,,282,4.63054,0.785398
283,-0.0641681,,283,9.13613,0.785398
284,-0.0266385,,284,1.6403,0.785398
285,-0.0858902,,285,22.8359,0.785398
286,-0.028927,,286,13.7798,0.785398
287,0.118825,,287,11.5258,0.785398
288,0.0815103,,288,3.02049,0.785398
289,-0.0452209,,289,16.4749,0.785398
290,-0.0787904,,290,16.1838,0.785398
291,-0.00697059,,291,10.8951,0.785398
292,0.0858735,,292,1.17494,0.785398
293,-0.0389177,,293,13.1452,0.785398
294,0.041313,,294,8.14589,0.785398
295,-0.0163983,,295,4.97196,0.785398
296,-0.0266699,,296,17.4525,0.785398
297,0.0656598,,297,12.2282,0.785398
298,0.0734505,,298,6.23586,0.785398
299,0.110276,,299,2.69884,0.785398
300,0.00414414,,300,1.97431,0.785398
301,0.115808,,301,8.1749,0.785398
302,-0.0765552,,302,25.5696,0.785398
303,-0.0426144,,303,10.6821,0.785398
304,0.0101679,,304,1.97278,0.785398
305,0.0999503,,305,8.58111,0.785398
306,-0.0746096,,306,35.091,0.785398
307,-0.00525054,,307,10.1045,0.785398
308,0.0758058,,308,9.75506,0.785398
309,0.080895,,309,6.77144,0.785398
310,-0.0526903,,310,7.02777,0.785398
311,0.111702,,311,4.74477,0.785398
312,-0.090485,,312,22.0846,0.785398
313,0.0542914,,313,17.1427,0.785398
314,0.0667403,,314,10.5201,0.785398
315,-0.0700438,,315,0.839061,0.785398
316,-0.0846788,,316,10.6639,0.785398
317,-0.0970732,,317,17.5623,0.785398
318,0.0972091,,318,7.90067,0.785398
319,0.037926,,319,11.2782,0.785398
320,0.105106,,320,13.6961,0.785398
321,0.10731,,321,12.455,0.785398
322,-0.00360945,,322,4.38686,0.785398
323,0.017241,,323,4.15198,0.785398
324,-0.0883925,,324,18.5043,0.785398
325,0.0597244,,325,23.7562,0.785398
326,0.0979565,,326,9.34665,0.785398
327,-0.0290218,,327,10.5792,0.785398
328,-0.115369,,328,22.7471,0.785398
329,-0.0619191,,329,2.95251,0.785398
330,0.0827006,,330,10.5694,0.785398
331,0.0663622,,331,24.5451,0.785398
332,-0.00737063,,332,0.70677,0.785398
333,0.105884,,333,23.0652,0.785398
334,-0.0238683,,334,4.62776,0.785398
335,0.0980038,,335,5.64289,0.785398
336,0.0270222,,336,7.29499,0.785398
337,-0.0500893,,337,20.4125,0.785398
338,-0.0219099,,338,3.05085,0.785398
339,0.0532058,,339,8.66005,0.785398
340,0.0269488,,340,7.89077,0.785398
341,-0.00507286,,341,6.56723,0.785398
342,-0.0491896,,342,2.60969,0.785398
343,-0.0847383,,343,4.71468,0.785398
344,-0.0104644,,344,9.72449,0.785398
345,-0.0552124,,345,5.68363,0.785398
346,0.0911299,,346,0.711509,0.785398
347,-0.0151481,,347,6.38195,0.785398
348,0.0569941,,348,25.2267,0.785398
349,0.0819437,,349,3.83482,0.785398
350,-0.118437,,350,13.1012,0.785398
351,-0.0736794,,351,17.1055,0.785398
352,0.0184136,,352,9.73165,0.785398
353,-0.0841806,,353,40.2468,0.785398
354,-0.023674,,354,11.7526,0.785398
355,-0.0660762,,355,9.61982,0.785398
356,-0.00368845,,356,0.516714,0.785398
357,0.0343706,,357,0.0688756,0.785398
358,0.054922,,358,38.5402,0.785398
359,0.00850166,,359,18.3529,0.785398
360,-0.102196,,360,13.872,0.785398
361,0.0331831,,361,15.2476,0.785398
362,0.038808,,362,12.1628,0.785398
363,-0.104659,,363,5.50238,0.785398
364,-0.0865682,,364,17.6255,0.785398
365,0.0293385,,365,18.2347,0.785398
366,0.00886945,,366,7.58987,0.785398
367,-0.0665983,,367,3.25567,0.785398
368,-0.0173304,,368,5.10859,0.785398
369,-0.0515983,,369,26.5373,0.785398
370,0.108093,,370,11.9986,0.785398
371,0.0324138,,371,10.4558,0.785398
372,0.00690695,,372,1.9867,0.785398
373,0.0505602,,373,2.13926,0.785398
374,-0.00141737,,374,23.179,0.785398
375,0.104994,,375,12.3393,0.785398
376,0.059487,,376,11.1625,0.785398
377,0.115798,,377,4.94268,0.785398
378,0.0829348,,378,4.85677,0.785398
379,-0.0955579,,379,13.5827,0.785398
380,0.0130672,,380,17.2512,0.785398
381,0.0394654,,381,16.8071,0.785398
382,0.100867,,382,3.93369,0.785398
383,0.0664638,,383,12.5163,0.785398
384,0.119892,,384,23.4456,0.785398
385,0.000184573,,385,3.70419,0.785398
386,-0.0150851,,386,12.6421,0.785398
387,0.0943176,,387,33.9109,0.785398
388,-0.115654,,388,0.108825,0.785398
389,-0.110444,,389,0.363246,0.785398
390,0.0145706,,390,23.2306,0.785398
391,-0.0750399,,391,18.8524,0.785398
392,0.0116259,,392,5.08275,0.785398
393,0.0392171,,393,12.1268,0.785398
394,-0.0760742,,394,10.8293,0.785398
395,-0.0497583,,395,2.81012,0.785398
396,0.00465369,,396,5.85524,0.785398
397,0.0544116,,397,3.76304,0.785398
398,-0.0301579,,398,20.162,0.785398
399,0.0288699,,399,8.48912,0.785398
400,-0.0535901,,400,7.84645,0.785398
401,0.0618645,,401,6.0236,0.785398
402,0.00298686,,402,2.45768,0.785398
403,0.0191878,,403,11.5032,0.785398
404,0.117733,,404,7.59738,0.785398
405,0.115869,,405,25.0531,0.785398
406,0.056456,,406,17.1936,0.785398
407,-0.117919,,407,1.32483,0.785398
408,0.0674102,,408,26.4286,0.785398
409,0.0532558,,409,11.9245,0.785398
410,-0.0049277,,410,7.78696,0.785398
411,-0.0589803,,411,4.09026,0.785398
412,-0.059392,,412,7.59268,0.785398
413,0.0336581,,413,8.1682,0.785398
414,0.109595,,414,13.6007,0.785398
415,0.0100829,,415,10.8384,0.785398
416,0.0352559,,416,5.669,0.785398
417,-0.0280231,,417,23.7846,0.785398
418,-0.0725497,,418,1.02062,0.785398
419,0.112257,,419,16.3169,0.785398
420,0.103445,,420,31.3408,0.785398
421,-0.0373617,,421,7.15961,0.785398
422,-0.0561145,,422,4.33215,0.785398
423,-0.115217,,423,11.0801,0.785398
424,0.0371974,,424,7.91947,0.785398
425,0.0476423,,425,10.4356,0.785398
426,0.115655,,426,9.36045,0.785398
427,0.0458139,,427,16.1336,0.785398
428,0.0917214,,428,0.393206,0.785398
429,0.0868911,,429,13.4932,0.785398
430,0.0675172,,430,3.04308,0.785398
431,-0.110645,,431,12.7329,0.785398
432,-0.0989039,,432,23.6012,0.785398
433,-0.0225896,,433,8.20992,0.785398
434,0.0120288,,434,9.23354,0.785398
435,0.0877456,,435,8.95317,0.785398
436,-0.113456,,436,15.1887,0.785398
437,0.116532,,437,3.54843,0.785398
438,0.0722022,,438,6.70071,0.785398
439,0.00922448,,439,11.1005,0.785398
440,-0.0467873,,440,30.713,0.785398
441,-0.0306852,,441,5.99819,0.785398
442,0.0948579,,442,3.20088,0.785398
443,0.117398,,443,4.73611,0.785398
444,0.0586838,,444,3.61915,0.785398
445,-0.124727,,445,1.65394,0.785398
446,-0.0108061,,446,23.4289,0.785398
447,0.109627,,447,12.2053,0.785398
448,-0.0241644,,448,14.4437,0.785398
449,-0.038374,,449,1.74102,0.785398
450,-0.0643473,,450,12.7287,0.785398
451,0.0661125,,451,24.4931,0.785398
452,0.0544723,,452,6.09373,0.785398
453,0.00415133,,453,3.42742,0.785398
454,0.118016,,454,2.4087,0.785398
455,0.0912431,,455,0.804575,0.785398
456,-0.0644945,,456,9.95713,0.785398
457,0.0631668,,457,0.86809,0.785398
458,-0.118945,,458,28.2306,0.785398
459,0.115201,,459,8.7711,0.785398
460,0.0371339,,460,2.4678,0.785398
461,0.0221233,,461,31.202,0.785398
462,-0.0550834,,462,34.381,0.785398
463,-0.0148158,,463,7.71826,0.785398
464,0.0908903,,464,5.32536,0.785398
465,0.0671067,,465,32.6581,0.785398
466,-0.0571859,,466,4.51574,0.785398
467,-0.110222,,467,0.165089,0.785398
468,-0.0708473,,468,5.14143,0.785398
469,0.0519877,,469,7.17217,0.785398
470,-0.0516786,,470,13.8893,0.785398
471,-0.0117406,,471,3.82701,0.785398
472,-0.0924943,,472,12.3222,0.785398
473,0.0870958,,473,18.1699,0.785398
474,-0.0620725,,474,10.3289,0.785398
475,-0.0525826,,475,19.2505,0.785398
476,-0.0858367,,476,3.64497,0.785398
477,-0.121883,,477,15.7995,0.785398
478,0.0568874,,478,13.3714,0.785398
479,-0.0306773,,479,8.85937,0.785398
480,-0.0977706,,480,9.53139,0.785398
481,0.0243674,,481,2.60027,0.785398
482,0.00941582,,482,20.5217,0.785398
483,0.0425319,,483,16.2846,0.785398
484,-0.00853368,,484,9.54548,0.785398
485,-0.0376842,,485,9.46289,0.785398
486,0.0315306,,486,13.7956,0.785398
487,0.0692832,,487,2.64906,0.785398
488,-0.0565942,,488,31.5662,0.785398
489,0.093304,,489,0.938238,0.785398
490,0.0700679,,490,15.9683,0.785398
491,0.0095784,,491,0.771862,0.785398
492,0.112824,,492,32.2108,0.785398
493,-0.007243,,493,11.7329,0.785398
494,0.0291555,,494,6.71472,0.785398
495,0.0956171,,495,16.7133,0.785398
496,-0.00561132,,496,23.6103,0.785398
497,-0.110044,,497,19.4194,0.785398
498,-0.0795236,,498,25.0426,0.785398
499,-0.0750365,,499,20.4884,0.785398
500,0.116727,,500,16.6201,0.785398
501,0.0628565,,501,2.85063,0.785398
502,0.0768013,,502,15.6427,0.785398
503,-0.0561609,,503,7.47636,0.785398
504,0.0634725,,504,0.139193,0.785398
505,0.044552,,505,13.1957,0.785398
506,-0.0990473,,506,33.9331,0.785398
507,-0.034824,,507,10.6234,0.785398
508,-0.106514,,508,13.1684,0.785398
509,0.11738,,509,7.93972,0.785398
510,0.000702177,,510,2.56391,0.785398
511,0.048663,,511,2.85207,0.785398
512,-0.0654832,,512,4.47413,0.785398
513,-0.0188503,,513,22.688,0.785398
514,-0.0805804,,514,10.3084,0.785398
515,0.0495306,,515,3.99825,0.785398
516,-0.0813911,,516,5.99654,0.785398
517,-0.10366,,517,11.9728,0.785398
518,0.0920911,,518,2.49094,0.785398
519,-0.0821084,,519,6.21733,0.785398
520,-0.089074,,520,0.717088,0.785398
521,0.023888,,521,4.66666,0.785398
522,0.080027,,522,7.44286,0.785398
523,-0.037255,,523,12.1361,0.785398
524,0.0316584,,524,0.0751016,0.785398
525,0.0803725,,525,4.27141,0.785398
526,-0.000654289,,526,20.8014,0.785398
527,-0.0828512,,527,19.2109,0.785398
528,-0.103685,,528,6.10839,0.785398
529,-0.0824375,,529,20.2901,0.785398
530,-0.0862805,,530,22.461,0.785398
531,0.0851066,,531,3.32143,0.785398
532,-0.0584785,,532,19.9031,0.785398
533,-0.0141123,,533,5.71437,0.785398
534,0.0489058,,534,1.5224,0.785398
535,0.0782434,,535,12.2063,0.785398
536,-0.0900101,,536,6.33378,0.785398
537,-0.0632933,,537,33.1112,0.785398
538,-0.104228,,538,6.62259,0.785398
539,0.111819,,539,9.7849,0.785398
540,-0.0782046,,540,12.2529,0.785398
541,-0.00470478,,541,22.586,0.785398
542,-0.054537,,542,0.828171,0.785398
543,0.0405048,,543,30.5709,0.785398
544,0.097504,,544,20.3526,0.785398
545,-0.0387114,,545,33.819,0.785398
546,-0.0369716,,546,28.1404,0.785398
547,-0.123582,,547,8.47834,0.785398
548,-0.0649819,,548,10.6231,0.785398
549,0.101255,,549,2.28069,0.785398
550,-0.0719571,,550,14.5031,0.785398
551,-0.105534,,551,17.7222,0.785398
552,-0.122577,,552,16.3308,0.785398
553,0.0802937,,553,10.7962,0.785398
554,0.0532043,,554,2.54938,0.785398
555,0.0320083,,555,21.0265,0.785398
556,0.0240571,,556,9.22003,0.785398
557,-0.00591166,,557,8.31007,0.785398
558,0.00613433,,558,3.22123,0.785398
559,-0.0297327,,559,3.37065,0.785398
560,-0.106241,,560,3.8349,0.785398
561,-0.0474267,,561,24.2303,0.785398
562,0.106456,,562,12.3606,0.785398
563,-0.0464338,,563,3.43847,0.785398
564,0.0607958,,564,9.14151,0.785398
565,0.0331863,,565,3.77694,0.785398
566,-0.121561,,566,18.3739,0.785398
567,-0.0796614,,567,10.1336,0.785398
568,-0.0652351,,568,8.34209,0.785398
569,0.0957598,,569,26.5446,0.785398
570,-0.0266436,,570,3.38504,0.785398
571,0.0826559,,571,13.0455,0.785398
572,0.121194,,572,9.01153,0.785398
573,-0.123318,,573,15.5081,0.785398
574,-0.0406339,,574,2.86596,0.785398
575,-0.029501,,575,10.6285,0.785398
576,0.0378471,,576,10.4784,0.785398
577,-0.0966565,,577,6.65615,0.785398
578,-0.0765185,,578,10.3506,0.785398
579,-0.0426764,,579,9.44547,0.785398
580,0.0654907,,580,16.5899,0.785398
581,0.0652608,,581,3.89787,0.785398
582,0.0323178,,582,9.91177,0.785398
583,0.124456,,583,30.9231,0.785398
584,0.0825308,,584,50.5097,0.785398
585,-0.0169717,,585,29.1057,0.785398
586,-0.116552,,586,1.7008,0.785398
587,0.0172438,,587,0.844218,0.785398
588,-0.109639,,588,9.32225,0.785398
589,0.12066,,589,24.4085,0.785398
590,-0.014416,,590,9.9017,0.785398
591,-0.0209359,,591,16.6716,0.785398
592,-0.102521,,592,5.11718,0.785398
593,0.0263428,,593,6.32547,0.785398
594,0.00518713,,594,16.8918,0.785398
595,0.00201469,,595,7.50164,0.785398
596,-0.107535,,596,9.13651,0.785398
597,-0.00766803,,597,27.699,0.785398
598,-0.0743769,,598,12.9251,0.785398
599,-0.0965993,,599,12.6296,0.785398
600,0.091217,,600,16.1437,0.785398
601,-0.0076877,,601,1.01181,0.785398
602,0.108226,,602,16.5936,0.785398
603,-0.104015,,603,6.57904,0.785398
604,-0.0475139,,604,5.64426,0.785398
605,0.0483674,,605,33.3427,0.785398
606,0.0537089,,606,2.28501,0.785398
607,-0.0205334,,607,12.096,0.785398
608,0.0111616,,608,15.092,0.785398
609,0.00652268,,609,0.318264,0.785398
610,0.00736624,,610,7.64955,0.785398
611,0.0746711,,611,6.85483,0.785398
612,-0.12307,,612,9.996,0.785398
613,-0.117922,,613,34.9848,0.785398
614,-0.0645452,,614,19.315,0.785398
615,0.105162,,615,16.6672,0.785398
616,-0.0215073,,616,15.8976,0.785398
617,-0.0282544,,617,4.2012,0.785398
618,0.00701987,,618,13.9938,0.785398
619,0.0623182,,619,10.2113,0.785398
620,0.0951918,,620,9.75212,0.785398
621,0.116404,,621,18.3872,0.785398
622,0.0227103,,622,14.7967,0.785398
623,-0.0578259,,623,2.72887,0.785398
624,0.0246455,,624,9.38003,0.785398
625,0.0683039,,625,14.9942,0.785398
626,-0.0699085,,626,6.15581,0.785398
627,-0.00928088,,627,13.4679,0.785398
628,0.00580808,,628,12.3681,0.785398
629,0.115683,,629,10.1045,0.785398
630,-0.0824076,,630,11.1833,0.785398
631,-0.124743,,631,19.8015,0.785398
632,-0.0764919,,632,5.03796,0.785398
633,0.0227508,,633,27.6326,0.785398
634,0.0484399,,634,6.4274,0.785398
635,0.0754565,,635,5.20159,0.785398
636,0.0563042,,636,18.0526,0.785398
637,0.044219,,637,1.53815,0.785398
638,-0.00158762,,638,9.84976,0.785398
639,0.0128452,,639,4.02294,0.785398
640,-0.050509,,640,6.79897,0.785398
641,0.0826403,,641,13.3765,0.785398
642,0.0657158,,642,1.00344,0.785398
643,-0.0619588,,643,16.6087,0.785398
644,0.0953728,,644,24.8758,0.785398
645,-0.0765693,,645,5.86083,0.785398
646,0.119508,,646,20.3867,0.785398
647,-0.0954777,,647,7.72264,0.785398
648,-0.00275966,,648,23.2777,0.785398
649,-0.0758628,,649,1.27935,0.785398
650,0.0637001,,650,2.41871,0.785398
651,0.0799869,,651,11.673,0.785398
652,-0.072324,,652,6.28163,0.785398
653,0.0029483,,653,33.4118,0.785398
654,0.0602719,,654,3.64895,0.785398
655,-0.0424793,,655,4.32222,0.785398
656,-0.0158061,,656,3.48687,0.785398
657,0.0390106,,657,14.6998,0.785398
658,0.101487,,658,6.61717,0.785398
